vendor_id,delivery_charge,serving_distance,is_open,prepration_time,discount_percentage,ven_status,ven_verified,vendor_rating,Ven_created_days,american,arabic,asian,bagels,biryani,breakfast,burgers,cafe,cakes,chinese,churros,coffee,combos,crepes,desserts,dimsum,donuts,family_meal,fatayers,free_delivery,fresh_juices,fries,frozen_yoghurt,grills,healthy_food,hot_chocolate,hot_dogs,ice_creams,indian,italian,japanese,karak,kebabs,kids_meal,kushari,lebanese,manakeesh,mandazi,mexican,milkshakes,mishkak,mojitos,mojitos_,nan,omani,organic,pancakes,pasta,pastry,pizza,rice,rolls,salads,sandwiches,seafood,shawarma,shuwa,smoothies,soups,spanish_latte,steaks,sushi,sweets,thai,thali,vegetarian,waffles,OpenHour,TotOpenDuration,vendor_category_en_Restaurants,vendor_category_en_Sweets & Bakes,device_type_1,device_type_3,timegroup_early(5-10.59am),timegroup_evening(17-22.59pm),timegroup_latenight(23-4.59am),timegroup_normal(11-16.59pm)
4,0.0,6.0,1.0,15,0.0,1.0,1,4.4,883,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11:00,12.5,1,0,0,1,0,0,0,1
13,0.7,5.0,1.0,14,0.0,1.0,1,4.7,790,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,08:30,14.0,1,0,0,1,1,0,0,0
20,0.0,8.0,1.0,19,0.0,1.0,1,4.5,789,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08:00,14.75,1,0,0,1,1,0,0,0
23,0.0,5.0,1.0,16,0.0,1.0,1,4.5,787,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10:59,11.52,1,0,0,1,1,0,0,0
28,0.7,15.0,1.0,10,0.0,1.0,1,4.4,776,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11:00,12.75,1,0,0,1,0,0,0,1
33,0.7,6.0,1.0,17,0.0,1.0,1,4.6,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11:00,11.5,1,0,0,1,0,0,0,1
43,0.7,15.0,1.0,15,0.0,1.0,1,4.3,742,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11:00,12.75,1,0,0,1,0,0,0,1
44,0.7,15.0,1.0,14,0.0,1.0,1,4.3,742,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11:00,12.75,1,0,0,1,0,0,0,1
55,0.7,10.0,1.0,19,0.0,1.0,1,4.5,710,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,09:00,14.5,1,0,0,1,1,0,0,0
66,0.0,15.0,1.0,20,10.0,1.0,1,4.0,692,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17:00,6.0,1,0,0,1,0,1,0,0
67,0.0,15.0,1.0,15,0.0,1.0,1,4.3,692,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,08:00,15.5,1,0,0,1,1,0,0,0
75,0.7,5.0,1.0,15,0.0,1.0,1,4.6,679,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11:00,11.5,1,0,0,1,0,0,0,1
76,0.7,15.0,1.0,15,0.0,1.0,1,4.6,675,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,08:30,13.0,1,0,0,1,1,0,0,0
